player,team,salary
Nicolas Batum,LAC,4668000
Aaron Holiday,HOU,4668000
Jalen Duren,DET,4536840
Jordan Hawkins,NOP,4525680
Jalen Johnson,ATL,4510905
Bub Carrington,WAS,4454880
Isaiah Jackson,IND,4435381
Nickeil Alexander-Walker,MIN,4312500
Ochai Agbaji,TOR,4310280
Kobe Bufkin,ATL,4299000
Quentin Grimes,PHI,4296682
Kel'el Ware,MIA,4231800
Bones Hyland,ATL,4158439
Mark Williams,CHO,4094280
Keyonte George,UTA,4084200
Cam Thomas,BRK,4041249
Jared McCain,PHI,4020360
Jaden Springer,HOU,4772772
Dwight Powell,DAL,4000000
Day'Ron Sharpe,BRK,3989122
Santi Aldama,MEM,3960531
Amir Coffey,LAC,3938271
Jalen Hood-Schifino,UTA,3879840
Kevin Love,MIA,3850000
Dalton Knecht,LAL,3819120
Tari Eason,HOU,3695160
Jaime Jaquez Jr.,MIA,3685800
Tristan Da Silva,ORL,3628440
Brandin Podziemski,GSW,3519960
Dalen Terry,CHI,3510480
Svi Mykhailiuk,UTA,3500000
Cody Zeller,HOU,3500000
Ja'Kobe Walter,TOR,3465000
Cam Whitmore,HOU,3379080
Jake LaRavia,SAC,3352680
Jaylon Tyson,CLE,3326160
Eric Gordon,PHI,3303771
Cory Joseph,ORL,3303771
Russell Westbrook,DEN,5631296
Noah Clowney,BRK,3244080
Malaki Branham,SAS,3217920
Yves Missi,NOP,3193200
Dante Exum,DAL,3150000
Dariq Whitehead,BRK,3114240
Nassir Little,PHO,3107143
Christian Braun,DEN,3089640
Johnny Juzang,UTA,3087519
DaRon Holmes,DEN,3065640
Josh Richardson,UTA,3051153
Christian Wood,LAL,3036040
Kyle Filipowski,UTA,3000000
Julian Champagnie,SAS,3000000
Ajay Mitchell,OKC,3000000
Kris Murray,POR,2990040
Walker Kessler,UTA,2965920
Shake Milton,LAL,2875000
Olivier-Maxence Prosper,DAL,2870400
David Roddy,ATL,2967212
Torrey Craig,CHI,3625162
Kyshawn George,WAS,2825520
AJ Johnson,WAS,2795294
Marcus Sasser,DET,2755080
Dewayne Dedmon,DET,2748674
MarJon Beauchamp,LAC,2733720
Trendon Watford,BRK,2726603
Ben Sheppard,IND,2663880
Keita Bates-Diop,MIN,2654644
Blake Wesley,SAS,2624280
Dillon Jones,OKC,2622360
Nick Smith Jr.,CHO,2587200
Brice Sensabaugh,UTA,2571480
