rank,player,age,team,position,games,games_started,minutes_per_game,fg_made,fg_attempts,fg_pct,three_p_made,three_p_attempts,three_p_pct,two_p_made,two_p_attempts,two_p_pct,efg_pct,ft_made,ft_attempts,ft_pct,off_rebounds,def_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points_per_game,player_id
417,Duop Reath,28,POR,C,46,0,10.2,1.5,3.6,0.422,0.7,2.3,0.321,0.8,1.3,0.6,0.524,0.4,0.5,0.909,1.0,1.0,2.0,0.6,0.3,0.3,0.3,0.9,4.2,reathdu01
421,Caleb Houstan,22,ORL,SF,58,6,13.6,1.4,3.3,0.421,1.1,2.8,0.4,0.3,0.5,0.533,0.589,0.3,0.3,0.882,0.3,1.0,1.3,0.6,0.4,0.1,0.2,1.1,4.1,houstca01
423,Jalen Pickett,25,DEN,SG,49,4,13.6,1.6,3.7,0.428,0.8,2.1,0.396,0.8,1.6,0.468,0.539,0.1,0.2,0.75,0.3,1.1,1.4,2.2,0.4,0.1,0.5,0.8,4.1,pickeja02
425,Gui Santos,22,GSW,PF,56,2,13.6,1.5,3.2,0.458,0.6,1.8,0.33,0.9,1.4,0.632,0.553,0.5,0.8,0.69,1.3,1.8,3.1,1.4,0.4,0.2,0.8,1.6,4.1,santogu01
428,Nicolas Batum,36,LAC,PF,78,8,17.5,1.3,3.1,0.437,1.1,2.6,0.433,0.2,0.4,0.457,0.622,0.2,0.3,0.81,0.6,2.2,2.8,1.1,0.7,0.5,0.4,1.4,4.0,batumni01
432,Steven Adams,31,HOU,C,58,3,13.7,1.6,2.9,0.545,0.0,0.0,0.0,1.6,2.8,0.552,0.545,0.7,1.6,0.462,2.9,2.8,5.6,1.1,0.4,0.5,0.9,1.0,3.9,adamsst01
434,Olivier-Maxence Prosper,22,DAL,PF,52,4,11.2,1.3,3.3,0.402,0.2,1.0,0.235,1.1,2.4,0.472,0.437,0.9,1.5,0.645,0.8,1.6,2.4,0.8,0.5,0.1,0.3,0.5,3.9,prospol01
441,DeAndre Jordan,36,DEN,C,56,5,12.3,1.6,2.5,0.65,0.0,0.0,,1.6,2.5,0.65,0.65,0.5,1.1,0.422,1.5,3.6,5.1,0.9,0.3,0.5,0.7,1.3,3.7,jordade01
442,Craig Porter Jr.,24,CLE,PG,51,1,10.1,1.4,2.7,0.514,0.4,0.9,0.438,1.0,1.8,0.554,0.589,0.5,0.6,0.719,0.4,0.9,1.3,1.4,0.3,0.3,0.7,0.5,3.7,portecr01
444,Blake Wesley,21,SAS,SG,58,0,11.8,1.4,3.2,0.435,0.3,1.0,0.293,1.1,2.2,0.5,0.481,0.7,1.1,0.623,0.3,0.8,1.1,2.0,0.6,0.1,0.9,0.8,3.7,weslebl01
447,Jae'Sean Tate,29,HOU,SF,52,2,11.3,1.3,2.8,0.473,0.3,0.9,0.348,1.0,2.0,0.529,0.527,0.6,0.9,0.681,1.0,1.3,2.3,0.9,0.5,0.1,0.4,1.6,3.6,tateja01
451,Cory Joseph,33,ORL,PG,50,16,12.2,1.2,3.1,0.403,0.8,2.1,0.364,0.5,0.9,0.489,0.529,0.3,0.4,0.778,0.3,1.1,1.5,1.4,0.5,0.1,0.4,1.0,3.5,josepco01
456,Andre Jackson Jr.,23,MIL,SG,67,43,14.6,1.4,2.9,0.477,0.4,1.1,0.395,1.0,1.8,0.529,0.553,0.2,0.4,0.5,1.0,1.7,2.7,1.2,0.5,0.2,0.9,1.7,3.4,jacksan01
462,Zeke Nnaji,24,DEN,PF,57,4,10.7,1.2,2.5,0.496,0.3,0.9,0.327,0.9,1.6,0.596,0.557,0.5,0.8,0.614,0.6,1.0,1.6,0.4,0.4,0.7,0.2,1.1,3.2,nnajize01
466,Gary Harris,30,ORL,SG,48,3,14.8,1.1,2.8,0.383,0.8,2.1,0.356,0.3,0.7,0.469,0.519,0.1,0.3,0.583,0.4,0.9,1.3,0.6,0.5,0.3,0.4,0.9,3.0,harriga01
485,Dillon Jones,23,OKC,SF,54,3,10.2,0.9,2.5,0.383,0.3,1.2,0.254,0.6,1.3,0.5,0.444,0.3,0.5,0.607,0.6,1.7,2.2,1.1,0.3,0.1,0.5,1.0,2.5,jonesdi01
489,John Konchar,28,MEM,SG,46,4,12.1,0.9,2.0,0.451,0.5,1.3,0.371,0.4,0.6,0.621,0.577,0.2,0.2,0.875,0.8,2.5,3.3,0.9,0.7,0.3,0.3,0.7,2.4,konchjo01
502,Dwight Powell,33,DAL,C,55,3,10.0,0.8,1.1,0.689,0.0,0.1,0.4,0.7,1.0,0.714,0.705,0.5,0.8,0.651,0.9,1.3,2.1,1.0,0.3,0.4,0.3,1.4,2.1,poweldw01
510,Jericho Sims,26,2TM,C,53,5,11.9,0.8,1.3,0.634,0.0,0.0,,0.8,1.3,0.634,0.634,0.2,0.2,0.615,1.3,2.4,3.7,0.6,0.2,0.4,0.6,1.2,1.8,simsje01
