rank,player,age,team,position,games,games_started,minutes_per_game,fg_made,fg_attempts,fg_pct,three_p_made,three_p_attempts,three_p_pct,two_p_made,two_p_attempts,two_p_pct,efg_pct,ft_made,ft_attempts,ft_pct,off_rebounds,def_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points_per_game,player_id
136,Harrison Barnes,32,SAS,PF,82,82,27.2,4.2,8.3,0.508,1.9,4.4,0.433,2.3,3.9,0.591,0.622,2.0,2.4,0.809,1.2,2.6,3.8,1.7,0.5,0.2,0.6,0.9,12.3,barneha02
137,Bilal Coulibaly,20,WAS,SF,59,59,33.0,4.5,10.6,0.421,1.1,3.8,0.281,3.4,6.8,0.5,0.472,2.3,3.1,0.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4,12.3,coulibi01
138,Ayo Dosunmu,25,CHI,SG,46,26,30.3,4.8,9.8,0.492,1.3,4.1,0.328,3.5,5.7,0.612,0.561,1.3,1.7,0.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,dosunay01
139,Daniel Gafford,26,DAL,C,57,31,21.5,5.0,7.1,0.702,0.0,0.0,,5.0,7.1,0.702,0.702,2.4,3.4,0.689,2.7,4.1,6.8,1.4,0.4,1.8,1.2,2.7,12.3,gaffoda01
140,Jaden McDaniels,24,MIN,PF,82,82,31.9,4.9,10.2,0.477,1.2,3.7,0.33,3.6,6.5,0.561,0.537,1.3,1.6,0.813,1.6,4.2,5.7,2.0,1.3,0.9,1.2,2.7,12.2,mcdanja02
141,Jabari Smith Jr.,21,HOU,PF,57,39,30.1,4.4,9.9,0.438,1.7,4.9,0.354,2.6,5.1,0.519,0.525,1.8,2.2,0.825,1.8,5.2,7.0,1.1,0.4,0.7,1.1,2.2,12.2,smithja05
142,Caris LeVert,30,2TM,SG,64,3,24.9,4.4,9.4,0.467,1.7,4.4,0.373,2.7,4.9,0.552,0.556,1.7,2.4,0.71,0.6,2.5,3.2,3.4,0.9,0.5,1.2,1.5,12.1,leverca01
144,Tari Eason,23,HOU,PF,57,16,24.9,4.8,9.8,0.487,1.1,3.2,0.342,3.7,6.6,0.557,0.543,1.4,1.8,0.76,2.2,4.1,6.4,1.5,1.7,0.9,1.1,2.4,12.0,easonta01
145,Rudy Gobert,32,MIN,C,72,72,33.2,4.7,7.1,0.669,0.0,0.0,,4.7,7.1,0.669,0.669,2.6,3.8,0.674,3.7,7.2,10.9,1.8,0.8,1.4,1.2,2.5,12.0,goberru01
146,Aaron Nesmith,25,IND,SF,45,37,25.0,4.3,8.4,0.507,1.9,4.3,0.431,2.4,4.1,0.587,0.617,1.6,1.8,0.913,0.8,3.1,4.0,1.2,0.8,0.4,0.8,2.5,12.0,nesmiaa01
147,Aaron Wiggins,26,OKC,SG,76,26,22.9,4.7,9.6,0.488,1.7,4.5,0.383,3.0,5.1,0.578,0.577,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0,wiggiaa01
149,Jalen Duren,21,DET,C,78,78,26.1,4.8,7.0,0.692,0.0,0.0,,4.8,7.0,0.692,0.692,2.1,3.1,0.669,3.6,6.8,10.3,2.7,0.7,1.1,1.7,3.2,11.8,durenja01
150,Donte DiVincenzo,28,MIN,SG,62,10,25.9,4.0,9.6,0.422,2.8,7.1,0.397,1.2,2.5,0.49,0.568,0.8,1.0,0.778,0.5,3.2,3.7,3.6,1.2,0.3,1.6,1.8,11.7,divindo01
151,Brandin Podziemski,21,GSW,SG,64,33,26.8,4.4,9.8,0.445,1.8,4.8,0.372,2.6,5.0,0.516,0.537,1.1,1.5,0.758,1.0,4.1,5.1,3.4,1.1,0.2,1.2,1.5,11.7,podzibr01
152,Corey Kispert,25,WAS,SF,61,0,26.3,4.2,9.3,0.451,2.0,5.4,0.364,2.2,3.9,0.574,0.558,1.2,1.4,0.852,0.6,2.4,3.0,1.7,0.4,0.2,1.0,1.6,11.6,kispeco01
153,Jeremy Sochan,21,SAS,PF,54,23,25.3,4.6,8.7,0.535,0.5,1.7,0.308,4.1,7.0,0.59,0.565,1.6,2.3,0.696,2.4,4.2,6.5,2.4,0.8,0.5,1.6,2.4,11.4,sochaje01
154,Toumani Camara,24,POR,PF,78,78,32.7,4.2,9.2,0.458,1.7,4.6,0.375,2.5,4.6,0.542,0.552,1.2,1.6,0.722,2.2,3.6,5.8,2.2,1.5,0.6,1.4,2.9,11.3,camarto01
155,Isaiah Hartenstein,26,OKC,C,57,53,27.9,4.9,8.4,0.581,0.0,0.3,0.0,4.9,8.1,0.605,0.581,1.4,2.1,0.675,2.9,7.9,10.7,3.8,0.8,1.1,1.7,3.0,11.2,harteis01
156,Buddy Hield,32,GSW,SG,82,22,22.7,4.0,9.6,0.417,2.5,6.7,0.37,1.5,2.9,0.527,0.546,0.6,0.8,0.828,0.6,2.6,3.2,1.6,0.8,0.3,1.1,1.6,11.1,hieldbu01
157,Jrue Holiday,34,BOS,PG,62,62,30.6,4.1,9.2,0.443,1.7,4.9,0.353,2.4,4.3,0.547,0.538,1.1,1.2,0.909,1.2,3.0,4.3,3.9,1.1,0.4,1.2,1.6,11.1,holidjr01
158,Walker Kessler,23,UTA,C,58,58,30.0,4.8,7.2,0.663,0.1,0.6,0.176,4.7,6.6,0.706,0.671,1.4,2.6,0.52,4.6,7.6,12.2,1.7,0.6,2.4,1.5,2.2,11.1,kesslwa01
159,Gary Trent Jr.,26,MIL,SG,74,9,25.6,3.8,8.9,0.431,2.4,5.9,0.416,1.4,3.0,0.46,0.568,1.1,1.2,0.848,0.3,2.0,2.3,1.2,1.0,0.1,0.6,1.7,11.1,trentga02
160,Spencer Dinwiddie,31,DAL,PG,79,30,27.0,3.6,8.6,0.416,1.4,4.1,0.334,2.2,4.5,0.492,0.496,2.5,3.1,0.802,0.2,2.4,2.6,4.4,0.9,0.2,1.3,1.5,11.0,dinwisp01
161,Tim Hardaway Jr.,32,DET,SG,77,77,28.0,3.6,8.8,0.406,2.2,5.9,0.368,1.4,2.9,0.484,0.529,1.6,1.9,0.855,0.2,2.1,2.4,1.6,0.5,0.1,0.6,1.2,11.0,hardati02
162,Duncan Robinson,30,MIA,SF,74,37,24.1,3.9,9.0,0.437,2.6,6.5,0.393,1.4,2.4,0.556,0.581,0.6,0.7,0.887,0.2,2.0,2.3,2.4,0.5,0.1,1.2,1.8,11.0,robindu01
163,Guerschon Yabusele,29,PHI,C,70,43,27.1,4.0,8.0,0.501,1.5,3.9,0.38,2.5,4.1,0.616,0.593,1.4,2.0,0.725,1.9,3.7,5.6,2.1,0.8,0.3,1.2,2.3,11.0,yabusgu01
164,Brice Sensabaugh,21,UTA,SF,71,15,20.2,3.9,8.4,0.459,2.2,5.2,0.422,1.7,3.2,0.52,0.59,0.9,1.0,0.89,0.6,2.4,3.0,1.5,0.6,0.1,1.5,1.6,10.9,sensabr01
165,Bogdan Bogdanovic,32,2TM,SG,54,4,25.0,3.9,9.1,0.427,1.9,5.4,0.363,1.9,3.8,0.517,0.534,1.1,1.2,0.879,0.4,2.5,2.9,2.7,0.8,0.2,1.4,2.4,10.8,bogdabo01
166,Jordan Hawkins,22,NOP,SG,56,9,23.6,3.7,9.9,0.372,2.0,5.9,0.331,1.7,4.0,0.433,0.471,1.4,1.8,0.816,0.4,2.4,2.8,1.2,0.5,0.4,1.0,0.9,10.8,hawkijo01
167,Brandon Boston Jr.,23,NOP,SG,42,10,23.6,4.0,9.1,0.436,1.2,3.3,0.35,2.8,5.7,0.485,0.5,1.6,2.0,0.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7,bostobr01
168,Nikola Jovic,21,MIA,PF,46,10,25.1,3.7,8.2,0.456,1.7,4.6,0.371,2.0,3.6,0.563,0.56,1.6,1.9,0.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,10.7,jovicni01
169,Grayson Allen,29,PHO,SG,64,7,24.1,3.4,7.6,0.448,2.3,5.5,0.426,1.1,2.2,0.504,0.6,1.5,1.8,0.816,0.5,2.5,3.0,2.1,0.8,0.3,1.2,1.5,10.6,allengr01
170,Keon Johnson,22,BRK,SG,79,56,24.4,3.8,9.9,0.389,1.6,5.1,0.314,2.2,4.8,0.468,0.47,1.4,1.8,0.77,0.8,3.0,3.8,2.2,1.0,0.4,1.5,2.6,10.6,johnske07
171,Terry Rozier,30,MIA,PG,64,23,25.9,3.9,9.9,0.391,1.4,4.8,0.295,2.5,5.1,0.48,0.462,1.4,1.7,0.852,0.7,3.0,3.7,2.6,0.6,0.2,1.2,1.1,10.6,roziete01
172,Obi Toppin,26,IND,PF,79,4,19.6,4.0,7.6,0.529,1.4,3.8,0.365,2.6,3.8,0.695,0.621,1.1,1.4,0.781,0.7,3.3,4.0,1.6,0.6,0.4,0.9,1.4,10.5,toppiob01
173,Jonas Valanciunas,32,2TM,C,81,21,18.8,4.3,7.7,0.55,0.1,0.5,0.216,4.2,7.3,0.571,0.557,1.8,2.0,0.879,2.3,5.4,7.7,2.0,0.5,0.6,1.5,2.2,10.4,valanjo01
174,Ochai Agbaji,24,TOR,SG,64,45,27.2,4.2,8.3,0.498,1.6,4.0,0.399,2.6,4.4,0.587,0.593,0.5,0.8,0.708,1.0,2.8,3.8,1.5,0.9,0.5,0.8,2.0,10.4,agbajoc01
175,Jaylen Wells,21,MEM,SG,79,74,25.9,3.6,8.6,0.425,1.7,5.0,0.352,1.9,3.6,0.525,0.527,1.4,1.7,0.822,1.1,2.3,3.4,1.7,0.6,0.1,0.9,1.8,10.4,wellsja01
177,Kevin Porter Jr.,24,2TM,SG,75,4,19.8,3.9,8.7,0.449,0.7,2.4,0.311,3.2,6.3,0.501,0.492,1.7,2.3,0.769,0.6,3.1,3.7,3.4,1.1,0.2,1.8,1.6,10.3,porteke02
178,Jose Alvarado,26,NOP,PG,56,23,24.4,3.6,9.3,0.392,2.0,5.5,0.359,1.7,3.8,0.439,0.498,1.1,1.3,0.811,0.5,1.9,2.4,4.6,1.3,0.3,1.5,1.6,10.3,alvarjo01
179,Nic Claxton,25,BRK,C,70,62,26.9,4.6,8.1,0.563,0.1,0.3,0.238,4.5,7.8,0.576,0.568,1.1,2.2,0.513,2.2,5.1,7.4,2.2,0.9,1.4,1.2,2.1,10.3,claxtni01
182,Isaiah Joe,25,OKC,SG,74,16,21.7,3.5,7.9,0.44,2.6,6.3,0.412,0.9,1.6,0.549,0.604,0.6,0.8,0.821,0.6,2.1,2.6,1.6,0.6,0.1,0.5,1.5,10.2,joeis01
183,Tyus Jones,28,PHO,PG,81,58,26.8,3.8,8.4,0.448,2.0,5.0,0.414,1.7,3.5,0.496,0.57,0.6,0.7,0.895,0.5,1.9,2.4,5.3,0.9,0.1,1.1,0.8,10.2,jonesty01
184,Trendon Watford,24,BRK,PF,44,6,20.8,3.7,8.0,0.469,0.7,2.0,0.33,3.1,6.0,0.515,0.51,2.1,2.8,0.762,0.8,2.8,3.6,2.6,0.6,0.3,1.9,2.2,10.2,watfotr01
186,Luguentz Dort,25,OKC,SF,71,71,29.2,3.6,8.4,0.435,2.4,5.8,0.412,1.2,2.5,0.489,0.578,0.5,0.6,0.717,1.3,2.9,4.1,1.6,1.1,0.5,0.7,2.9,10.1,dortlu01
187,Justin Edwards,21,PHI,SF,44,26,26.3,3.9,8.6,0.455,1.6,4.3,0.363,2.3,4.3,0.548,0.546,0.7,1.0,0.696,1.0,2.3,3.4,1.6,1.0,0.4,1.1,2.2,10.1,edwarju01
188,Derrick Jones Jr.,27,LAC,SF,77,55,24.3,4.0,7.6,0.526,1.0,2.8,0.356,3.0,4.8,0.627,0.593,1.1,1.5,0.703,1.2,2.2,3.4,0.8,1.0,0.4,0.9,2.0,10.1,jonesde02
189,Ausar Thompson,22,DET,SF,59,48,22.5,4.2,7.8,0.535,0.2,0.8,0.224,4.0,7.0,0.572,0.547,1.5,2.4,0.641,1.9,3.3,5.1,2.3,1.7,0.7,1.4,2.8,10.1,thompau01
190,Chris Boucher,32,TOR,PF,50,0,17.2,3.6,7.4,0.492,1.4,3.9,0.363,2.2,3.5,0.633,0.586,1.4,1.7,0.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.0,bouchch01
191,Andrew Nembhard,25,IND,SG,65,65,28.9,3.8,8.3,0.458,0.8,2.7,0.291,3.0,5.6,0.538,0.506,1.7,2.1,0.794,0.5,2.8,3.3,5.0,1.2,0.2,1.7,2.3,10.0,nembhan01
192,Ziaire Williams,23,BRK,SF,63,45,24.5,3.4,8.3,0.412,1.6,4.8,0.341,1.8,3.5,0.509,0.511,1.6,2.0,0.821,1.0,3.6,4.6,1.3,1.0,0.4,1.1,2.4,10.0,willizi02
193,Kevin Huerter,26,2TM,SG,69,31,24.3,3.7,8.8,0.425,1.9,5.7,0.338,1.8,3.1,0.587,0.535,0.5,0.7,0.714,0.4,2.5,3.0,2.3,1.0,0.3,1.0,1.8,9.9,huertke01
194,Georges Niang,31,2TM,PF,79,3,21.5,3.6,7.8,0.461,2.1,5.2,0.406,1.5,2.7,0.569,0.595,0.6,0.7,0.793,0.6,2.8,3.4,1.4,0.4,0.2,1.0,2.5,9.9,niangge01
195,Julian Champagnie,23,SAS,SF,82,29,23.6,3.4,8.1,0.415,2.2,5.9,0.371,1.2,2.3,0.53,0.549,1.0,1.1,0.904,0.8,3.1,3.9,1.4,0.7,0.4,0.9,1.4,9.9,champju02
196,Scotty Pippen Jr.,24,MEM,PG,79,21,21.3,3.6,7.5,0.48,1.1,2.8,0.397,2.5,4.7,0.528,0.553,1.5,2.2,0.713,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.6,9.9,pippesc02
197,Nick Smith Jr.,20,CHO,SG,60,27,22.8,3.7,9.5,0.391,1.7,5.1,0.34,2.0,4.4,0.45,0.482,0.7,0.8,0.935,0.2,1.9,2.1,2.4,0.3,0.1,1.4,1.3,9.9,smithni01
198,Bub Carrington,19,WAS,PG,82,57,30.0,3.7,9.1,0.401,1.7,5.0,0.339,2.0,4.2,0.475,0.493,0.8,1.0,0.812,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,9.8,carrica01
199,Moses Moody,22,GSW,SG,74,34,22.3,3.3,7.7,0.433,1.7,4.6,0.374,1.6,3.1,0.519,0.544,1.4,1.8,0.797,0.7,1.9,2.6,1.3,0.8,0.4,0.7,1.6,9.8,moodymo01
200,Amir Coffey,27,LAC,SG,72,13,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.9,3.7,0.529,0.57,1.6,1.8,0.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7,coffeam01
201,Max Christie,21,2TM,SG,78,36,27.3,3.2,7.6,0.427,1.5,4.0,0.366,1.8,3.5,0.496,0.525,1.7,1.9,0.855,0.5,2.8,3.3,1.9,0.8,0.4,1.1,1.5,9.6,chrisma02
202,Kyle Filipowski,21,UTA,C,72,27,21.1,3.6,7.2,0.502,1.1,3.1,0.35,2.5,4.1,0.614,0.576,1.3,2.0,0.65,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,9.6,filipky01
204,Miles McBride,24,NYK,PG,64,10,24.9,3.5,8.5,0.406,1.8,4.9,0.369,1.7,3.7,0.455,0.511,0.8,1.0,0.813,0.7,1.8,2.5,2.9,1.0,0.3,0.6,1.7,9.5,mcbrimi01
205,Jalen Wilson,24,BRK,PF,79,22,25.7,3.1,7.8,0.397,1.5,4.6,0.337,1.6,3.3,0.481,0.495,1.7,2.1,0.818,0.9,2.5,3.4,1.8,0.5,0.1,1.0,2.1,9.5,wilsoja03
206,Nickeil Alexander-Walker,26,MIN,SG,82,10,25.3,3.3,7.5,0.438,1.7,4.5,0.381,1.6,3.0,0.524,0.553,1.1,1.4,0.78,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4,alexani01
207,Cole Anthony,24,ORL,PG,67,22,18.4,3.4,8.1,0.424,1.1,3.3,0.353,2.3,4.9,0.471,0.494,1.4,1.7,0.823,0.7,2.4,3.0,2.9,0.7,0.5,1.5,2.3,9.4,anthoco01
208,Anthony Black,21,ORL,PG,78,10,24.2,3.4,7.9,0.423,0.8,2.5,0.318,2.6,5.4,0.471,0.473,1.9,2.5,0.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4,blackan01
209,Max Strus,28,CLE,SF,50,37,25.5,3.3,7.5,0.442,2.3,5.9,0.386,1.0,1.6,0.65,0.594,0.6,0.7,0.824,1.1,3.3,4.3,3.2,0.5,0.2,1.1,2.1,9.4,strusma01
211,Cam Whitmore,20,HOU,SF,51,3,16.2,3.5,7.9,0.444,1.3,3.6,0.355,2.2,4.3,0.518,0.525,1.1,1.4,0.75,0.7,2.3,3.0,1.0,0.6,0.3,0.9,0.9,9.4,whitmca01
212,Nick Richards,27,2TM,C,57,43,22.0,3.6,6.1,0.591,0.0,0.0,0.0,3.6,6.1,0.594,0.591,2.1,2.8,0.744,2.6,5.6,8.2,0.9,0.2,1.0,1.4,2.5,9.3,richani01
213,Kel'el Ware,20,MIA,C,64,36,22.2,4.0,7.3,0.554,0.5,1.7,0.315,3.5,5.5,0.629,0.592,0.7,1.0,0.687,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,9.3,wareke01
214,Zach Edey,22,MEM,C,66,55,21.5,3.8,6.6,0.58,0.3,0.8,0.346,3.5,5.8,0.612,0.6,1.4,1.9,0.709,3.5,4.8,8.3,1.0,0.5,1.3,1.3,2.8,9.2,edeyza01
215,Wendell Carter Jr.,25,ORL,C,68,51,25.9,3.3,7.2,0.46,0.5,2.3,0.234,2.8,4.9,0.568,0.498,1.9,2.6,0.737,2.2,5.0,7.2,2.0,0.8,0.6,1.1,2.9,9.1,cartewe01
216,Noah Clowney,20,BRK,PF,46,20,22.7,2.9,8.1,0.358,1.9,5.7,0.333,1.0,2.4,0.414,0.474,1.5,1.7,0.838,0.9,3.0,3.9,0.9,0.5,0.5,1.0,2.3,9.1,clownno01
217,Dalton Knecht,23,LAL,SF,78,16,19.2,3.3,7.1,0.461,1.6,4.4,0.376,1.7,2.8,0.594,0.576,0.8,1.1,0.762,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1,knechda01
219,T.J. McConnell,32,IND,PG,79,1,17.9,4.1,7.9,0.519,0.2,0.6,0.306,3.9,7.3,0.537,0.531,0.7,1.0,0.74,0.6,1.9,2.4,4.4,1.1,0.3,1.4,1.0,9.1,mccontj01
220,Yves Missi,20,NOP,C,73,67,26.8,3.7,6.7,0.547,0.0,0.0,0.0,3.7,6.7,0.548,0.547,1.7,2.8,0.623,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2.0,9.1,missiyv01
221,Royce O'Neale,31,PHO,SF,75,22,24.5,3.2,7.6,0.423,2.4,5.9,0.406,0.8,1.7,0.481,0.58,0.3,0.3,0.731,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2.0,9.1,onealro01
222,Jared Butler,24,2TM,SG,60,17,17.4,3.4,7.6,0.448,1.0,2.8,0.355,2.4,4.7,0.504,0.514,1.3,1.5,0.824,0.4,1.4,1.8,3.7,0.7,0.2,1.3,1.6,9.0,butleja02
224,Draymond Green,34,GSW,PF,68,66,29.2,3.2,7.5,0.424,1.2,3.6,0.325,2.0,3.9,0.517,0.503,1.5,2.2,0.687,1.1,5.0,6.1,5.6,1.5,1.0,2.6,3.2,9.0,greendr01
226,Al Horford,38,BOS,C,60,42,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.547,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9.0,horfoal01
