player,team,position,games,mpg,ppg,ast,reb,salary,salary_tier,per,ts_pct,ws,bpm,vorp
Nikola Vucevic,CHI,C,73,2278.0,1349.0,256.0,735.0,20000000,Starter,20.3,0.611,7.3,2.6,2.7
Myles Turner,IND,C,72,2174.0,1120.0,111.0,471.0,19928500,Starter,16.1,0.612,4.7,0.4,1.3
Jakob Poeltl,TOR,C,57,1686.0,824.0,158.0,547.0,19500000,Starter,20.0,0.641,5.5,2.0,1.7
Duncan Robinson,MIA,SF,74,1785.0,817.0,176.0,167.0,19406000,Starter,11.8,0.595,2.7,-1.7,0.1
Norman Powell,LAC,SG,60,1958.0,1306.0,125.0,190.0,19241379,Starter,17.5,0.615,5.3,1.5,1.8
Keldon Johnson,SAS,SF,77,1838.0,979.0,125.0,371.0,19000000,Starter,15.6,0.572,3.2,-1.6,0.2
D'Angelo Russell,2TM,PG,58,1480.0,732.0,297.0,162.0,18692307,Starter,14.0,0.522,1.9,-0.4,0.6
Collin Sexton,UTA,SG,63,1758.0,1159.0,264.0,171.0,18350000,Starter,16.6,0.593,2.4,-0.6,0.6
Josh Hart,NYK,SG,77,2897.0,1051.0,453.0,737.0,18144000,Starter,16.5,0.611,9.2,2.8,3.6
Jusuf Nurkic,2TM,C,51,1063.0,453.0,115.0,398.0,18125000,Starter,15.2,0.555,1.5,-1.3,0.2
Harrison Barnes,SAS,PF,82,2230.0,1011.0,136.0,310.0,18000000,Starter,14.9,0.656,5.6,0.0,1.2
Malik Monk,SAC,SG,65,2054.0,1117.0,362.0,245.0,17405203,Starter,15.0,0.549,2.8,-0.8,0.6
Bogdan Bogdanovic,2TM,SG,54,1348.0,583.0,146.0,159.0,17260000,Starter,11.1,0.559,1.9,-2.0,0.0
Rui Hachimura,LAL,PF,59,1869.0,775.0,83.0,295.0,17000000,Starter,13.6,0.619,4.3,-0.7,0.6
Kevin Huerter,2TM,SG,69,1679.0,681.0,156.0,205.0,16830357,Starter,11.3,0.544,1.9,-2.0,0.0
Zach Collins,2TM,PF,64,977.0,407.0,111.0,288.0,16741200,Starter,16.0,0.605,2.7,0.0,0.5
Caris LeVert,2TM,SG,64,1596.0,776.0,215.0,203.0,16615384,Starter,15.2,0.582,4.0,0.9,1.2
Luguentz Dort,OKC,SF,71,2073.0,719.0,115.0,293.0,16500000,Starter,11.3,0.586,5.6,0.2,1.2
Tim Hardaway Jr.,DET,SG,77,2153.0,844.0,123.0,183.0,16193183,Starter,9.8,0.567,3.5,-2.1,0.0
Klay Thompson,DAL,SF,72,1965.0,1005.0,145.0,246.0,15873016,Starter,12.9,0.552,1.8,-1.0,0.5
Deni Avdija,POR,SF,72,2161.0,1219.0,281.0,522.0,15625000,Starter,17.7,0.605,5.6,2.1,2.2
Grayson Allen,PHO,SG,64,1544.0,680.0,137.0,194.0,15625000,Starter,13.7,0.631,2.5,-0.3,0.7
P.J. Washington,DAL,PF,57,1835.0,836.0,131.0,442.0,15500000,Starter,14.0,0.556,2.4,-0.9,0.5
Max Strus,CLE,SF,50,1273.0,471.0,158.0,217.0,15212068,Starter,12.6,0.607,3.4,1.3,1.1
Isaiah Stewart,DET,C,72,1434.0,435.0,123.0,399.0,15000000,Starter,14.6,0.616,4.3,0.6,0.9
